obvod,číslo,název,poř. číslo,"příjmení, jméno, tituly",věk,navrh. strana,polit. přísl.,abs.,v %,pořadí,mandát
2,2,"Koalice SOS, SNK ED, Z",7,Brückner Jiří,60,SNK ED,BEZPP,172,"9,09",-,-
4,10,Strana zelených,3,Brumar Michal,21,SZ,BEZPP,319,"10,42",-,-
3,9,Česká str.sociálně demokrat.,7,Břečková Jarmila Mgr.,54,ČSSD,ČSSD,1 156,"10,74",4,-
4,6,"Koalice SOS, SNK ED, Z",8,Břenková Věra,54,SOS,BEZPP,195,"8,84",-,-
2,4,Strana zelených,2,Buk Vladimír Ing.,71,SZ,SZ,379,"11,64",-,-
2,4,Strana zelených,8,Caha Ondřej,21,SZ,BEZPP,277,"8,50",-,-
1,1,Komunistická str.Čech a Moravy,1,Cardová Jaroslava PaedDr.,52,KSČM,KSČM,634,"12,61",1,*
4,2,SPOLEČNĚ PRO OLOMOUC,8,Cetkovský Jan Ing.,71,NK,BEZPP,262,"8,39",-,-
2,8,Moravané,2,Coufal Miroslav,35,M,BEZPP,59,"24,38",-,-
1,7,Moravané,1,Coufal Petr,30,M,BEZPP,29,"37,17",-,-
2,3,SPOLEČNĚ PRO OLOMOUC,3,Coufal Petr Mgr.,42,NK,BEZPP,302,"10,98",-,-
5,8,Republikáni Miroslava Sládka,2,Crha Martin,34,RMS,RMS,28,"19,04",-,-
4,8,NEZ.DEMOKRATÉ(předs.V.Železný),5,Crhonek Tomáš,39,NEZ/DEM,BEZPP,35,"8,70",-,-
3,5,Strana zelených,6,Cvoliga Petr,19,SZ,BEZPP,263,"9,86",-,-
1,6,"Koalice SOS, SNK ED, Z",4,Danis Ladislav,40,"""Z""",BEZPP,292,"10,42",-,-
1,9,Občanská demokratická strana,6,Darek Roman Mgr.,40,ODS,ODS,2 048,"10,96",1,-
5,8,Republikáni Miroslava Sládka,4,Divina Jan,21,RMS,BEZPP,26,"17,68",-,-
2,4,Strana zelených,7,Dlabal Petr,21,SZ,SZ,302,"9,27",-,-
3,5,Strana zelených,2,Dleštíková Hana JUDr.,56,SZ,BEZPP,371,"13,92",-,-
1,10,Republikáni Miroslava Sládka,5,Dočkal Petr,50,RMS,BEZPP,10,"13,69",-,-
5,5,Občanská demokratická strana,9,Dohnal David,21,ODS,ODS,1 848,"9,98",5,-
4,3,Česká str.sociálně demokrat.,5,Domácí Petr Ing.,63,ČSSD,ČSSD,1 173,"10,73",2,-
1,2,Křesť.demokr.unie-Čs.str.lid.,1,Dostál Jan Ing.,45,KDU-ČSL,KDU-ČSL,577,"12,63",1,*
5,9,Křesť.demokr.unie-Čs.str.lid.,3,Drábek Ivan Mgr.,41,KDU-ČSL,BEZPP,457,"11,83",2,-
1,1,Komunistická str.Čech a Moravy,6,Dubcová Jaroslava,39,KSČM,BEZPP,545,"10,84",5,-
1,10,Republikáni Miroslava Sládka,1,Dufek Jiří,54,RMS,RMS,20,"27,39",-,-
5,10,Moravané,2,Dürlich Frank,35,M,BEZPP,29,"15,84",-,-
4,8,NEZ.DEMOKRATÉ(předs.V.Železný),9,Dvořáčková Lenka,41,NEZ/DEM,BEZPP,40,"9,95",-,-
1,2,Křesť.demokr.unie-Čs.str.lid.,3,Elšík Petr Mgr.,29,KDU-ČSL,KDU-ČSL,522,"11,42",2,-
4,4,Komunistická str.Čech a Moravy,5,Fábry Vladimír,44,KSČM,BEZPP,592,"11,38",4,-
2,5,Komunistická str.Čech a Moravy,5,Fábryová Pavla,39,KSČM,BEZPP,689,"10,99",4,-
3,9,Česká str.sociálně demokrat.,1,Fischer Michael MUDr.,50,ČSSD,ČSSD,1 354,"12,58",1,*
5,7,Česká str.sociálně demokrat.,6,Fišerová Ivona,22,ČSSD,ČSSD,1 188,"10,81",4,-
5,5,Občanská demokratická strana,7,Fišerová Jitka,28,ODS,ODS,2 011,"10,86",3,-
3,4,Křesť.demokr.unie-Čs.str.lid.,8,Fišrová Marie,57,KDU-ČSL,KDU-ČSL,339,"10,22",7,-
2,6,Občanská demokratická strana,5,Fritscherová Jarmila PhDr.,51,ODS,ODS,2 198,"11,11",1,-
1,3,Česká str.sociálně demokrat.,5,Fürst Dušan Ing.,57,ČSSD,ČSSD,1 155,"10,98",3,-
5,3,"Koalice SOS, SNK ED, Z",4,Gabriel Roman Ing.,42,"""Z""",BEZPP,287,"10,21",-,-
