obvod,číslo,název,poř. číslo,"příjmení, jméno",tituly,věk,navrh. strana,polit. přísl.,abs.,v %,pořadí,mandát
4,9,Unie svobody-Demokratická unie,6,Růžička Josef, ,48,US-DEU,US-DEU,124,8.03, , 
1,4,Naděje a Hnutí obč. sebeobr.,6,Rybová Alena,Ing. ,52,NK,BEZPP,248,9.74, , 
5,9,"BLOK PRO OBČ.-koalice RMS,SŽJ",1,Ryšlink Miloslav, ,51,RMS,RMS,39,30.46, , 
1,7,"BLOK PRO OBČ.-koalice RMS,SŽJ",3,Ryšlink Pavel, ,59,RMS,RMS,29,23.01, , 
4,8,Křesť.demokr.unie-Čs.str.lid.,3,Řezníček Jan, ,61,KDU-ČSL,KDU-ČSL,564,9.45,4, 
1,6,NEZÁVISLÍ,8,Sanetrník Dieter, ,61,NEZ,ČSNS,173,8.76, , 
2,10,Komunistická str.Čech a Moravy,5,Sedláček Ladislav, ,52,KSČM,BEZPP,808,11.22,3, 
2,3,NEZÁVISLÍ,6,Sedláčková Věra, ,35,NEZ,ČSNS,283,9.20, , 
4,1,Občanská demokratická strana,8,Sedláčková Zdeňka, ,48,ODS,ODS,981,9.99,5, 
1,11,Unie svobody-Demokratická unie,6,Selucká Daniela, ,27,US-DEU,US-DEU,245,8.56, , 
5,5,Unie svobody-Demokratická unie,2,Selucký Pavel,Ing. ,27,US-DEU,US-DEU,206,11.72, , 
4,5,Strana zelených a Šance pro Ol,8,Schneider Otto,Ing.arch. ,50,NK,BEZPP,423,10.26,7, 
3,2,NEZÁVISLÍ,1,Schulz Jindřich,Doc.PhDr. CSc.,61,NEZ,BEZPP,580,17.93,1,*
2,4,Česká str.sociálně demokrat.,4,Schwarzová Jana, ,35,ČSSD,ČSSD,1 672,11.16,4,*
5,6,Komunistická str.Čech a Moravy,1,Skácel Miroslav,PaedDr. ,54,KSČM,KSČM,818,12.92,1,*
1,6,NEZÁVISLÍ,7,Skácel Tomáš, ,48,NEZ,BEZPP,168,8.51, , 
5,11,Křesť.demokr.unie-Čs.str.lid.,8,Skácel Zdeněk, ,69,KDU-ČSL,KDU-ČSL,420,9.68,7, 
4,6,"BLOK PRO OBČ.-koalice RMS,SŽJ",3,Skalička Pavel, ,31,SŽJ,SŽJ,38,25.00, , 
3,3,Komunistická str.Čech a Moravy,2,Skalka Přemysl,MVDr. ,49,KSČM,KSČM,749,12.33,2,*
5,9,"BLOK PRO OBČ.-koalice RMS,SŽJ",2,Sklenář Vladimír, ,42,SŽJ,SŽJ,29,22.65, , 
1,2,Občanská demokratická strana,5,Skřivánek Aleš,MUDr. ,37,ODS,ODS,1 444,12.31,1,*
2,4,Česká str.sociálně demokrat.,8,Skřivanová Milada,Ing. ,62,ČSSD,ČSSD,1 413,9.43,4, 
4,6,"BLOK PRO OBČ.-koalice RMS,SŽJ",1,Sláma Roman, ,39,RMS,RMS,35,23.02, , 
3,7,Naděje a Hnutí obč. sebeobr.,3,Slavíková Daria,PhDr. ,45,NK,BEZPP,135,14.18, , 
3,8,OLOMOUC 21-SOS a nez.ob.inic.,7,Smékal Lubomír,Mgr. ,50,NK,BEZPP,238,10.65, , 
1,6,NEZÁVISLÍ,9,Snášel Pavel, ,36,NEZ,BEZPP,154,7.80, , 
5,3,NEZÁVISLÍ,7,Sofka Ludvík,Mgr. ,48,NEZ,BEZPP,201,8.65, , 
2,1,Strana zelených a Šance pro Ol,3,Sojková Irena,Mgr. ,38,NK,BEZPP,523,10.89,3, 
3,6,Strana zelených a Šance pro Ol,1,Sovová Eliška,MUDr. Ph.D.,41,NK,BEZPP,606,19.39,1,*
2,6,Naděje a Hnutí obč. sebeobr.,5,Spáčil Tomáš, ,37,N,BEZPP,125,10.52, , 
3,7,Naděje a Hnutí obč. sebeobr.,7,Spáčilová Ivana, ,35,N,BEZPP,86,9.03, , 
1,6,NEZÁVISLÍ,3,Srovnal Pavel,Ing. ,51,NEZ,BEZPP,230,11.65, , 
1,5,Strana zelených a Šance pro Ol,3,Staněk Petr,Ing. ,38,NK,BEZPP,521,12.28,2, 
5,4,Česká str.sociálně demokrat.,6,Stavěl Jan, ,56,ČSSD,ČSSD,916,10.61,4, 
1,10,Křesť.demokr.unie-Čs.str.lid.,2,Stejskal Ladislav, ,31,KDU-ČSL,KDU-ČSL,526,11.32,1, 
1,10,Křesť.demokr.unie-Čs.str.lid.,6,Stranyánek Jiří,RNDr. ,60,KDU-ČSL,KDU-ČSL,491,10.56,5, 
5,4,Česká str.sociálně demokrat.,8,Studený Lukáš,Bc. ,25,ČSSD,ČSSD,832,9.64,6, 
2,3,NEZÁVISLÍ,8,Subota Jan, ,47,NEZ,BEZPP,204,6.63, , 
2,7,OLOMOUC 21-SOS a nez.ob.inic.,6,Suchánková Helena,Mgr. ,45,SOS,BEZPP,163,8.83, , 
1,11,Unie svobody-Demokratická unie,9,Svoboda Josef,Ing. ,30,US-DEU,BEZPP,200,6.98, , 
4,9,Unie svobody-Demokratická unie,9,Svobodová Magda,Mgr. ,31,US-DEU,BEZPP,155,10.03, , 
1,3,OLOMOUC 21-SOS a nez.ob.inic.,1,Svozil Miloslav, ,62,SOS,SOS,364,14.18, , 
3,5,Unie svobody-Demokratická unie,3,Sýkora Pavel, ,24,US-DEU,US-DEU,181,10.67, , 
2,7,OLOMOUC 21-SOS a nez.ob.inic.,3,Sýkora Tomáš,Ing.Bc. ,34,SOS,BEZPP,190,10.30, , 
3,7,Naděje a Hnutí obč. sebeobr.,4,Szabó Nándor, ,50,NK,BEZPP,99,10.39, , 
5,2,Naděje a Hnutí obč. sebeobr.,7,Šafář Ljubomír,Mgr. ,52,NK,BEZPP,151,9.56, , 
2,2,Křesť.demokr.unie-Čs.str.lid.,9,Šana Jaroslav, ,71,KDU-ČSL,KDU-ČSL,242,7.39, , 
4,5,Strana zelených a Šance pro Ol,1,Šarapatka Bořivoj,Doc.Ing. CSc.,43,NK,BEZPP,723,17.54,1,*
5,4,Česká str.sociálně demokrat.,2,Ščudlík Svatopluk,Mgr. ,51,ČSSD,ČSSD,1 094,12.68,2,*
4,7,NEZÁVISLÍ,9,Šefčík Michal, ,36,NEZ,BEZPP,153,7.01, , 
5,3,NEZÁVISLÍ,9,Šefčíková Miroslava, ,35,NEZ,BEZPP,184,7.92, , 
2,2,Křesť.demokr.unie-Čs.str.lid.,4,Šestořád Pavel,MUDr. ,36,KDU-ČSL,KDU-ČSL,429,13.11, , 
1,6,NEZÁVISLÍ,5,Ševčík Drahomír,Mgr. ,35,NEZ,BEZPP,266,13.47, , 
2,6,Naděje a Hnutí obč. sebeobr.,9,Šifaldová Květoslava, ,64,NK,BEZPP,64,5.38, , 
2,10,Komunistická str.Čech a Moravy,8,Šimonová Anna, ,69,KSČM,KSČM,750,10.41,6, 
4,8,Křesť.demokr.unie-Čs.str.lid.,2,Šimša Karel,Ing. ,34,KDU-ČSL,KDU-ČSL,653,10.95,3, 
5,5,Unie svobody-Demokratická unie,3,Šindelka Jaroslav,Mgr. ,39,US-DEU,US-DEU,169,9.61, , 
5,11,Křesť.demokr.unie-Čs.str.lid.,1,Šnevajs Ladislav,RNDr. ,40,KDU-ČSL,KDU-ČSL,612,14.11,1,*
4,10,Komunistická str.Čech a Moravy,4,Špazier Petr, ,39,KSČM,KSČM,710,11.18,2, 
2,6,Naděje a Hnutí obč. sebeobr.,6,Šperlínová Marcela, ,48,N,BEZPP,106,8.92, , 
2,3,NEZÁVISLÍ,4,Špilháček Jan,JUDr. ,57,NEZ,BEZPP,341,11.08, , 
1,9,Str.venkova-spoj.občan.síly,1,Špruček František,MVDr. ,44,SV SOS,BEZPP,197,100.00, , 
3,1,Občanská demokratická strana,2,Šputa Oldřich,Ing. ,48,ODS,ODS,1 023,12.39,2,*
3,6,Strana zelených a Šance pro Ol,5,Štainer Martin,Mgr. ,34,NK,BEZPP,264,8.45,4, 
4,1,Občanská demokratická strana,7,Šťastný Jaroslav, ,33,ODS,ODS,1 017,10.36,4, 
1,10,Křesť.demokr.unie-Čs.str.lid.,4,Štěpánek Jiří,Ing. ,42,KDU-ČSL,KDU-ČSL,507,10.91,3, 
1,1,Komunistická str.Čech a Moravy,9,Štěpánek Vladimír, ,68,KSČM,KSČM,621,10.29,7, 
2,8,"BLOK PRO OBČ.-koalice RMS,SŽJ",2,Štěpánková Jana, ,45,SŽJ,BEZPP,20,13.79, , 
3,7,Naděje a Hnutí obč. sebeobr.,8,Šustáčková Janina, ,79,NK,BEZPP,62,6.51, , 
1,11,Unie svobody-Demokratická unie,4,Švarc Vladimír,Ing. ,47,US-DEU,US-DEU,293,10.23, , 
3,3,Komunistická str.Čech a Moravy,7,Švaříček Stanislav,RSDr. ,58,KSČM,KSČM,659,10.85,5, 
4,4,Str.venkova-spoj.občan.síly,1,Švehlík Jiří, ,62,SV SOS,BEZPP,26,100.00, , 
