číslo,název,poř. číslo,"příjmení, jméno, tituly",věk,navrh. strana,polit. přísl.,abs.,v %,pořadí,mandát
12,Komunistická str.Čech a Moravy,10,Fišerová Ivona Bc.,30,KSČM,KSČM,2 194,"2,32",6,-
10,Strana Práv Občanů,28,Fišerová Milada,59,SPO,BEZPP,129,"2,37",-,-
4,Patrioti PRO Olomouc,40,Flachs Václav,32,NK,BEZPP,244,"1,82",-,-
6,ProOlomouc,22,Flidr Tomáš,39,ProOl,BEZPP,1 346,"2,77",20,-
14,Úsvit přímé demokracie,2,Foretník Pavel RNDr.,64,Úsvit,BEZPP,818,"3,55",-,-
4,Patrioti PRO Olomouc,7,Foukalová Vladimíra Mgr.,43,NK,BEZPP,417,"3,12",-,-
2,Strana svobodných občanů,4,Fraitová Jana,69,Svobodní,Svobodní,603,"2,53",-,-
8,Občanská demokratická strana,14,Frank Jan Ing.,44,ODS,ODS,2 487,"2,11",10,-
5,Česká str.sociálně demokrat.,26,Fürst Dušan Ing.,65,ČSSD,ČSSD,4 361,"2,19",16,-
5,Česká str.sociálně demokrat.,24,Galuszková Dana MUDr. Ph.D.,55,ČSSD,ČSSD,4 701,"2,36",14,-
4,Patrioti PRO Olomouc,17,Gazárková Andrea,22,NK,BEZPP,266,"1,99",-,-
2,Strana svobodných občanů,13,Gazda Ondřej Ing.,33,Svobodní,BEZPP,525,"2,21",-,-
1,Křesť.demokr.unie-Čs.str.lid.,2,Giacintov Michal Ing. arch.,51,KDU-ČSL,BEZPP,3 097,"2,92",2,*
1,Křesť.demokr.unie-Čs.str.lid.,43,Goš Karel PhDr.,44,KDU-ČSL,KDU-ČSL,1 910,"1,80",38,-
8,Občanská demokratická strana,18,Gottwald Jan,32,ODS,BEZPP,2 844,"2,41",13,-
6,ProOlomouc,1,Grasse Pavel Ing. arch.,53,ProOl,ProOl,2 448,"5,04",1,*
12,Komunistická str.Čech a Moravy,37,Grossová Jitka PhDr.,71,KSČM,KSČM,2 008,"2,12",33,-
1,Křesť.demokr.unie-Čs.str.lid.,16,Hainc Rostislav Ing. Bc.,26,KDU-ČSL,BEZPP,2 454,"2,32",11,-
2,Strana svobodných občanů,15,Hájek Jakub,24,Svobodní,BEZPP,525,"2,21",-,-
4,Patrioti PRO Olomouc,23,Hajná Marcela,47,NK,BEZPP,259,"1,93",-,-
8,Občanská demokratická strana,21,Hálek Jan prof. Ing. CSc.,71,ODS,ODS,2 753,"2,34",16,-
14,Úsvit přímé demokracie,10,Hampl Josef,68,Úsvit,BEZPP,500,"2,17",-,-
8,Občanská demokratická strana,7,Hanáková Marcela PhDr.,55,ODS,ODS,2 688,"2,28",6,-
4,Patrioti PRO Olomouc,5,Handlová Eleonora Ing.,47,NK,BEZPP,452,"3,38",-,-
3,"REPUBL.STR.ČECH,MORAVY A SLEZ.",34,Hanelová Božena,63,SPR-RSČMS,SPR-RSČMS,75,"1,93",-,-
12,Komunistická str.Čech a Moravy,43,Hanusová Jana,73,KSČM,KSČM,1 913,"2,02",39,-
8,Občanská demokratická strana,13,Hapal Pavel,45,ODS,BEZPP,2 953,"2,51",2,-
14,Úsvit přímé demokracie,8,Haviger Radek Bc.,39,Úsvit,BEZPP,551,"2,39",-,-
2,Strana svobodných občanů,40,Havlénová Petra,27,Svobodní,BEZPP,471,"1,98",-,-
13,ANO 2011,31,Hebelka Milan Bc.,35,ANO,BEZPP,5 444,"2,18",19,-
